accession	name	segment	date	host	country	abbreviation	virus	strain
KJ686271	EV71/Homo sapiens/VNM/156/2012		2012-06-15	Human	2012-06-15	Viet Nam		EV71/Homosapiens/VNM/156/2012
KJ686290	EV71/Homo sapiens/VNM/211/2011		2011-11-04	Human	2011-11-04	Viet Nam		EV71/Homosapiens/VNM/211/2011
KJ686300	EV71/Homo sapiens/VNM/151/2012		2012-05-25	Human	2012-05-25	Viet Nam		EV71/Homosapiens/VNM/151/2012
KM211580	Puyang-461-2012		2012-XX-XX	Human	2012	China		Puyang-461-2012
KP289428	EV71/P63/2013/China		2013-XX-XX	Human	2013	China		EV71/P63/2013/China
KP308437	EV71/Homo sapiens/KHM/293/2012		2012-08-20	Human	2012-08-20	Cambodia		EV71/Homosapiens/KHM/293/2012
KP308449	EV71/Homo sapiens/KHM/378/2012		2012-07-16	Human	2012-07-16	Cambodia		EV71/Homosapiens/KHM/378/2012
KP691648	02-1-043		2013-09-18	Unknown	2013-09-18	Viet Nam		02-1-043
KP691659	02-0-065		2013-10-21	Unknown	2013-10-21	Viet Nam		02-0-065
KP691661	02-1-065		2013-10-25	Unknown	2013-10-25	Viet Nam		02-1-065
KR045296	THA_A761		2012-07-20	Human	2012-07-20	Thailand	B5	THA_A761
KT428649	EV71/SZ50/CHN/2014		2014-06-XX	Human	2014-06	China		EV71/SZ50/CHN/2014
KU159436	C4-ND-150_Vietnam:DongThap_2012-07-05		2012-07-05	Human	2012-07-05	Viet Nam	C4	C4-ND-150_Vietnam_DongThap_2012-07-05
KX139462	Jena 15-984		2015-07-29	Human	2015-07-29	Germany		Jena15-984
KX430822	EVA71/Homosapiens/VNM/14.2/2012		2012-XX-XX	Human	2012	Viet Nam	EV-A71	EVA71/Homosapiens/VNM/14.2/2012
LC626876	N380-Sendai-2012		2012-XX-XX	Human	2012	Japan		N380-Sendai-2012
LC626887	K398-Sendai-2006		2006-XX-XX	Human	2006	Japan		K398-Sendai-2006
LC626891	452-Yamagata-2003		2003-XX-XX	Human	2003	Japan		452-Yamagata-2003
LC626900	2000-Yamagata-2012		2012-XX-XX	Unknown	2012	Japan		2000-Yamagata-2012
LC627073	15NHP120		2015-XX-XX	Human	2015	Viet Nam		15NHP120
LC627079	16NHP399		2016-XX-XX	Human	2016	Viet Nam		16NHP399
LC627082	16NHP453		2016-XX-XX	Human	2016	Viet Nam		16NHP453
MT708800	2019-EV-A71-R400		2019-XX-XX	Human	2019	China		2019-EV-A71-R400
MT708801	2019-EV-A71-R477		2019-XX-XX	Human	2019	China		2019-EV-A71-R477
MT708804	2019-EV-A71-R405		2019-XX-XX	Human	2019	China		2019-EV-A71-R405
AB469182	SK-EV006/Malaysia/97		20XX-XX-XX	Unknown	N/a	Malaysia		SK-EV006/Malaysia/97
AB550337	C7/Osaka-LPS1		20XX-XX-XX	Unknown	N/a	Japan		C7/Osaka-LPS1
AB575914	17000		1971-XX-XX	Unknown	1971	Netherlands		17000
AB575917	10196		1977-XX-XX	Unknown	1977	Netherlands		10196
AF176044	1245a/98/tw		20XX-XX-XX	Unknown	N/a	Taiwan		1245a/98/tw
